business_name,addres_1,addres_1,city,state,postal_code,phone_number,website,status
Cortico Bar Restaurant,112 Pulaski St,Newark,NJ,07105,(973) 578-4499,http://www.corticobar.com/,OPERATIONAL
Casa Vasca,141 Elm St,Newark,NJ,07105,(973) 465-1350,https://www.casavasca.net/,OPERATIONAL
Central Restaurant,30 Central Ave,Newark,NJ,07102,(973) 623-8137,http://www.facebook.com/pages/Central-Restaurant/111649452205238,OPERATIONAL
Fornos of Spain,47 Ferry St,Newark,NJ,07105,(973) 589-4767,http://www.fornosrestaurant.com/,OPERATIONAL
La Cocina,61 New St,Newark,NJ,07102,(973) 856-6777,https://www.lacocinanewark.com/,OPERATIONAL
Tony Da Caneca,72 Elm Rd,Newark,NJ,07105,(973) 589-6882,http://www.tonydacaneca.com/,OPERATIONAL
Resa Grill,12 Lock St,Newark,NJ,07103,(862) 237-7050,http://www.resagrill.com/,OPERATIONAL
La Fiamma,440 Harrison Ave,Harrison,NJ,07029,(973) 483-5455,http://www.lafiammanj.com/,OPERATIONAL
Wilson Restaurant and Cafe,147 Wilson Ave,Newark,NJ,07105,(973) 589-4443,,OPERATIONAL
Playball Restaurant,50 Ferry St,Newark,NJ,07105,(973) 589-4466,http://restaurantwebx.com/PlayballRestaurant/,OPERATIONAL
Eli's @ Andros,6 Wilson Ave,Newark,NJ,07105,(973) 344-2626,,OPERATIONAL
Pages Restaurant On the Mall,150 Halsey St,Newark,NJ,07102,(973) 623-6284,http://pages-on-the-mall.edan.io/,OPERATIONAL
The Bite Club,11 Frank E Rodgers Blvd S,Harrison,NJ,07029,(973) 484-9193,https://www.biteclubnj.com/,OPERATIONAL
Deluxe Diner,561 Broad St,Newark,NJ,07102,(973) 624-1532,https://www.deluxedinernj.com/,OPERATIONAL
Sabor Unido,77 Jefferson St,Newark,NJ,07105,(973) 368-8553,https://ordering.orders2.me/menu/saborunido,OPERATIONAL
Sombras Del Pacifico Restaurant,77 Jefferson St,Newark,NJ,07105,,,OPERATIONAL
The Taste of Brazil | Newark,37 Merchant St,Newark,NJ,07105,(862) 237-7770,http://www.ttobrestaurant.com/,OPERATIONAL
